"<li><strong>Which Centre/organization signed Letter of Intent (LoI) with Atal Innovation Mission (AIM) to promote innovation in India. </strong><br/>
1) Indian Council of Social Science Research (ICSSR)<br/>
2) Council of Scientific and Industrial Research (CSIR)<br/>
3) University Grants Commission (UGC)<br/>
4) All India Council for Technical Education (AICTE)<br/>
5) None of these<br/>
","-<strong>2) Council of Scientific and Industrial Research (CSIR) </strong><br/>
<strong>Explanation:</strong><br/>
Council of Scientific and Industrial Research (CSIR) and Atal Innovation Mission (AIM) have signed a letter of intent (LoI) to promote innovation in the country in the presence of Dr Rajiv Kumar, Vice Chairperson, Niti Aayog, Shri Amitabh Kant, Chief Executive Officer (CEO) of Niti Aayog and Dr Shekhar C Mande, Director-General (DG) CSIR and other senior officials from both the organizations.<br/>
</div></div><br/></li>"
"<li><strong>“Healthy and Energy Efficient Buildings” is the initiative of EESL along with which agency/organization? </strong><br/>
1) New Zealand Agency for International Development(NZAID)<br/>
2) Japan International Cooperation Agency(JICA)<br/>
3) US Trade and Development Agency (USTDA)<br/>
4) United States Agency for International Development (USAID)<br/>
5) None of these<br/>
","-<strong>4) United States Agency for International Development (USAID) </strong><br/>
<strong>Explanation:</strong><br/>
Under the Market Integration and Transformation Program for Energy Efficiency (MAITREE) Program, an announcement was made by the partnering of the Energy Efficiency Services Limited (EESL) and the U.S. Agency for International Development’s (USAID) to launch the “Healthy and Energy Efficient Buildings” that will pave way for a greener and healthier workplace on the occasion of the World Environment Day (June 5).<br/>
</div></div><br/></li>"
"<li><strong>Which state/UT has launched India’s 1st “online waste management platform” recently. </strong><br/>
1) Madhya Pradesh<br/>
2) West Bengal<br/>
3) Gujarat<br/>
4) Maharashtra<br/>
5) Andhra Pradesh<br/>
","-<strong>5) Andhra Pradesh </strong><br/>
<strong>Explanation:</strong><br/>
Andhra Pradesh(AP) Chief Minister YS Jagan Mohan Reddy launched India’s 1st “online waste management platform” of Andhra Pradesh Environment Management Corporation(APEMC) on the occasion of World Environment Day to ensure 100% safe disposal of industrial toxic wastes. The State Department of Environmental Management, APEMC, will take over responsibility of the online platform.<br/>
</div></div><br/></li>"
"<li><strong>Union government has announced no new schemes will be launched till ______. </strong><br/>
1) January 1, 2021<br/>
2) June 30, 2021<br/>
3) December 31, 2021<br/>
4) August 31, 2021<br/>
5) March 31, 2021<br/>
","-<strong>5) March 31, 2021 </strong><br/>
<strong>Explanation:</strong><br/>
The Union Finance Ministry has asked all ministries and departments to not initiate any new scheme in the current financial year as there is a need to use resources prudently in the wake of the COVID-19 crisis. Only funds for schemes under the Pradhan Mantri Garib Kalyan Package, the Aatmanirbhar Bharat Abhiyan package and any other special package or announcement would be allocated, according to an office memorandum by the Department of Expenditure under the Finance Ministry. Any scheme that has already been approved for the current financial year, including those schemes for which in-principle approval has been given, will remain suspended till March 31, 2021 or further orders.<br/>
</div></div><br/></li>"
"<li><strong>The US International Development Finance Corporation (USIDFC) is planning to invest ______ (in USD) in Indian firms. </strong><br/>
1) 350 million<br/>
2) 500 million<br/>
3) 250 million<br/>
4) 100 million<br/>
5) 150 million<br/>
","-<strong>1) 350 million </strong><br/>
<strong>Explanation:</strong><br/>
To support multiple projects in India, The US International Development Finance Corporation (USIDFC) is planning to invest 350 million USD in sectors of finance, health infrastructure, renewable energy and food security space also look to empower smallholder dairy farmers, generate solar power increase access to education. It is one of the largest approvals made by the Board of Directors.<br/>
</div></div><br/></li>"
"<li><strong>NABARD provided Rs. 270 crores as the Special Liquidity Facility (SLF) to which bank? </strong><br/>
1) Baroda Rajasthan Kshetriya Gramin Bank<br/>
2) Assam Gramin Vikash Bank<br/>
3) Andhra Pradesh Grameena Vikas Bank<br/>
4) Central Madhya Pradesh Gramin Bank<br/>
5) Himachal Pradesh Gramin Bank<br/>
","-<strong>2) Assam Gramin Vikash Bank </strong><br/>
<strong>Explanation:</strong><br/>
National Bank for Agriculture and Rural Development (NABARD) provided Rs 270 crore Special Liquidity Facility(SLF) to Assam Gramin Vikash Bank in the wake of COVID-19 pandemic to support the agricultural activities of the farmers. This support &amp; separate line of credit will enable to intensify farmers crop production.<br/>
</div></div><br/></li>"
"<li><strong>ISRO has signed MoU with which institute for cooperation in Space Situational Awareness, Astrophysics? </strong><br/>
1) ARIES<br/>
2) GEMINI<br/>
3) VIRGO<br/>
4) TAURUS<br/>
5) LEO<br/>
","-<strong>1) ARIES </strong><br/>
<strong>Explanation:</strong><br/>
For the cooperation in the Field of Space Situational Awareness(SSA) and Astrophysics, The Indian Space Research Organization (ISRO), Bengaluru signed a Memorandum of Understanding with the Aryabhatta Research institute of Observational Science (ARIES), Nainital.<br/>
</div></div><br/></li>"
"<li><strong>Who has been appointed as the UNADAP’s ‘Goodwill Ambassador to the Poor’? </strong><br/>
1) Nethra<br/>
2) Krithika<br/>
3) Chitra<br/>
4) Divya<br/>
5) Karthika<br/>
","-<strong>1) Nethra </strong><br/>
<strong>Explanation:</strong><br/>
The United Nations Association for Development and Peace(UNADAP) appointed 13-year-old Madurai girl Nethra as its ‘Goodwill Ambassador to the Poor’ as she persuaded her father C. Mohan, a salon owner who spent his savings Rs 5 lakhs for his daughter’s education. Also, helping with essentials to nearly 1,500 families despite his salon being closed for 2months as part of COVID-19 lockdown with no other income during the period.<br/>
</div></div><br/></li>"
"<li><strong>The G7 Summit 2020 which was postponed to September/November 2020 will be hosted by which country? </strong><br/>
1) Canada<br/>
2) Japan<br/>
3) United States<br/>
4) Germany<br/>
5) France<br/>
","-<strong>3) United States </strong><br/>
<strong>Explanation:</strong><br/>
US President Donald Trump has suggested to expand the G7 (Group of Seven), which is an outdated group and he proposed to add India, Australia, South Korea and Russia to be included into the group naming it as G10 or G11. He also postponed the next meeting of the G7 to September or November which will be hosted by US.<br/>
</div></div><br/></li>"
"<li><strong>Name the person who heads the task force formulated by GoI to examine matters pertaining to age of motherhood, and related issues. </strong><br/>
1) Najma Akhtar<br/>
2) Vasudha Kamath<br/>
3) Vinod Paul<br/>
4) Jaya Jaitly<br/>
5) Dipti Shah<br/>
","-<strong>4) Jaya Jaitly </strong><br/>
<strong>Explanation:</strong><br/>
Central Government of India has formulated a task force to examine matters pertaining to age of motherhood, imperatives of lowering MMR, improvement of nutritional levels and related issues. It will be headed by Ms. Jaya Jaitly. The Task Force will be provided secretarial assistance by the NITI (National Institution for Transforming India) Aayog and will submit its report by 31st July, 2020.<br/>
</div></div><br/></li>"
